campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
TCS ,3.9,"Mumbai,Maharashtra + 263 more",Mumbai, 263,Public,54,1 Lakh+ Employees (India),#VALUE!,45.7k,534.9k,939,3.3k
Accenture ,4.2,Dublin + 142 more,Dublin, 142,Public,33,1 Lakh+ Employees (India),,30.7k,382.6k,4.6k,2.5k
Cognizant ,4,Teaneck. New Jersey. + 93 more,Teaneck., 93,Private,28,1 Lakh+ Employees (India),,27.7k,376.9k,697,2.1k
ICICI Bank ,4,"Mumbai,Maharashtra + 1031 more",Mumbai, 1031,Public,28,1 Lakh+ Employees (India),,33.3k,138.8k,188,1.1k
HDFC Bank ,4,"Mumbai,Maharashtra + 1186 more",Mumbai, 1186,Public,28,1 Lakh+ Employees (India),,37.4k,131.8k,206,849
Wipro ,3.9,"Bangalore/Bengaluru,Karnataka + 227 more",Bangalore/Bengaluru, 227,Public,77,1 Lakh+ Employees (India),,26.7k,290.3k,415,2.1k
Infosys ,3.9,"Bengaluru/Bangalore,Karnataka + 122 more",Bengaluru/Bangalore, 122,Public,41,1 Lakh+ Employees (India),,26.5k,328.5k,836,3.4k
Capgemini ,3.9,Paris + 75 more,Paris, 75,Public,55,1 Lakh+ Employees (India),,22.6k,265.2k,1k,1.5k
Tech Mahindra ,3.8,"Pune,Maharashtra + 205 more",Pune, 205,Public,36,50k-1 Lakh Employees (India),,20.5k,173.5k,1.1k,1.4k
Genpact ,4,"New York,New York + 64 more",New York, 64,Public,25,50k-1 Lakh Employees (India),,19.9k,120.6k,896,1k
HCL Technologies ,3.9,"Noida,Uttar Pradesh + 136 more",Noida, 136,Public,31,1 Lakh+ Employees (India),,17.1k,230.4k,848,1.4k
Axis Bank ,3.9,"Mumbai,Maharashtra + 1050 more",Mumbai, 1050,Public,29,1 Lakh+ Employees (India),,18.1k,106.3k,248,683
Amazon ,4.2,"Seattle,Washington + 354 more",Seattle, 354,Public,28,1 Lakh+ Employees (India),,16.6k,98.5k,940,2.2k
IBM ,4.2,"Armonk,New York + 116 more",Armonk, 116,Public,111,1 Lakh+ Employees (India),,20.6k,161.3k,1.8k,919
Concentrix Corporation ,4.1,"Fremont,California + 68 more",Fremont, 68,Public,39,10k-50k Employees (India),,14.7k,69.9k,138,558
Larsen & Toubro Limited ,4.1,"Mumbai,Maharashtra + 518 more",Mumbai, 518,Public,84,10k-50k Employees (India),,23.7k,69.5k,37,636
Reliance jio ,4,"Navi Mumbai,Maharashtra + 952 more",Navi Mumbai, 952,Public,15,50k-1 Lakh Employees (India),,14.1k,68.7k,1.6k,621
Vodafone Idea ,4.2,"Gandhinagar,Gujrat + 561 more",Gandhinagar, 561,Public,4,10k-50k Employees (India),,13.6k,58.9k,372,258
HDB Financial Services ,4,"Ahmedabad,Gujrat + 749 more",Ahmedabad, 749,Private,15,1 Lakh+ Employees (India),,12.7k,55.2k,14,345
Teleperformance ,3.6,Paris + 117 more,Paris, 117,Private,44,50k-1 Lakh Employees (India),,13.7k,54.4k,314,594
Kotak Mahindra Bank ,3.9,"Mumbai,Maharashtra + 467 more",Mumbai, 467,Public,19,50k-1 Lakh Employees (India),,13.1k,65.8k,94,404
Bharti Airtel ,4.1,"Gurgaon/Gurugram,Haryana + 494 more",Gurgaon/Gurugram, 494,Public,27,10k-50k Employees (India),,12.4k,41.5k,174,322
Reliance Industries  ,4.1,"Navi Mumbai,Maharashtra + 461 more",Navi Mumbai, 461,Public,49,1 Lakh+ Employees (India),,40.6k,53k,67,554
Deloitte ,4.1,"New York,New York + 132 more",New York, 132,Private,177,50k-1 Lakh Employees (India),,9.7k,98.3k,131,934
Tata Motors ,4,"Pune,Maharashtra + 383 more",Pune, 383,Public,77,10k-50k Employees (India),,11.9k,34.8k,16,429
Reliance Retail ,4.1,"Navi Mumbai,Maharashtra + 593 more",Navi Mumbai, 593,Private,16,1 Lakh+ Employees (India),,14.1k,40.1k,359,568
WNS ,3.7,"Mumbai,Maharashtra + 22 more",Mumbai, 22,Private,26,10k-50k Employees (India),,6.7k,37.5k,140,452
Mahindra & Mahindra ,3.9,"Mumbai,Maharashtra + 401 more",Mumbai, 401,Public,77,1 Lakh+ Employees (India),,37.6k,32.8k,36,267
IndusInd Bank ,3.8,"Gurgaon/Gurugram,Haryana + 549 more",Gurgaon/Gurugram, 549,Public,28,10k-50k Employees (India),,6.6k,44.9k,193,244
Flipkart ,4.2,"Bangalore,Karnataka + 416 more",Bangalore, 416,Public,15,50k-1 Lakh Employees (India),,10.5k,35.7k,470,631
DXC Technology ,3.9,"Minato,Tokyo + 56 more",Minato, 56,Public,5,10k-50k Employees (India),,6.9k,62.3k,1.1k,308
Hinduja Global Solutions ,4,"Bangalore/Bengaluru,Karnataka + 74 more",Bangalore/Bengaluru, 74,Public,22,10k-50k Employees (India),,6k,21.4k,97,114
Ernst & Young ,3.8,London + 72 more,London, 72,Private,20,50k-1 Lakh Employees (India),,7.1k,72.4k,1.4k,532
Maruti Suzuki ,4.1,"New Delhi,Delhi + 376 more",New Delhi, 376,Public,39,10k-50k Employees (India),,5.7k,22.2k,186,290
BYJU'S ,3.6,"Bangalore,Karnataka + 166 more",Bangalore, 166,Private,11,1k-5k Employees (India),,10.2k,33.7k,903,1.1k
Infosys BPM  ,4,"Bangalore/Bengaluru,Karnataka + 46 more",Bangalore/Bengaluru, 46,,20,10k-50k Employees (India),,5.6k,36.6k,41,428
