Company Name,Rating,Locations,Headquarter,Number of locations,Public or private,How long since founded,Number of employees,Number of reviews,Amount of salaries,Number of jobs,Number of interviews,Country,Continent
TCS ,3.9,"Mumbai,Maharashtra + 263 more",Mumbai,264,Public,54,1 Lakh+ Employees (India),45700,534900,939,3300,India,Asia
Accenture ,4.2,Dublin + 142 more,Dublin,142,Public,33,1 Lakh+ Employees (India),30700,382600,4600,2500,Ireland,Europe
Cognizant ,4,"Teaneck, New Jersey. + 93 more",Teaneck,94,Private,28,1 Lakh+ Employees (India),27700,376900,697,2100,United States of America,Americas
ICICI Bank ,4,"Mumbai,Maharashtra + 1031 more",Mumbai,1032,Public,28,1 Lakh+ Employees (India),33300,138800,188,1100,India,Asia
HDFC Bank ,4,"Mumbai,Maharashtra + 1186 more",Mumbai,1187,Public,28,1 Lakh+ Employees (India),37400,131800,206,849,India,Asia
Wipro ,3.9,"Bangalore/Bengaluru,Karnataka + 227 more",Bangalore,228,Public,77,1 Lakh+ Employees (India),26700,290300,415,2100,India,Asia
Infosys ,3.9,"Bengaluru/Bangalore,Karnataka + 122 more",Bangalore,123,Public,41,1 Lakh+ Employees (India),26500,328500,836,3400,India,Asia
Capgemini ,3.9,Paris + 75 more,Paris,75,Public,55,1 Lakh+ Employees (India),22600,265200,1000,1500,France,Europe
Tech Mahindra ,3.8,"Pune,Maharashtra + 205 more",Pune,206,Public,36,50k-1 Lakh Employees (India),20500,173500,1100,1400,India,Asia
Genpact ,4,"New York,New York + 64 more",New York,65,Public,25,50k-1 Lakh Employees (India),19900,120600,896,1000,United States of America,Americas
HCL Technologies ,3.9,"Noida,Uttar Pradesh + 136 more",Noida,137,Public,31,1 Lakh+ Employees (India),17100,230400,848,1400,India,Asia
Axis Bank ,3.9,"Mumbai,Maharashtra + 1050 more",Mumbai,1051,Public,29,1 Lakh+ Employees (India),18100,106300,248,683,India,Asia
Amazon ,4.2,"Seattle,Washington + 354 more",Seattle,355,Public,28,1 Lakh+ Employees (India),16600,98500,940,2200,United States of America,Americas
IBM ,4.2,"Armonk,New York + 116 more",Armonk,117,Public,111,1 Lakh+ Employees (India),20600,161300,1800,919,United States of America,Americas
Concentrix Corporation ,4.1,"Fremont,California + 68 more",Fremont,69,Public,39,10k-50k Employees (India),14700,69900,138,558,United States of America,Americas
Larsen & Toubro Limited ,4.1,"Mumbai,Maharashtra + 518 more",Mumbai,519,Public,84,10k-50k Employees (India),23700,69500,37,636,India,Asia
Reliance jio ,4,"Navi Mumbai,Maharashtra + 952 more",Navi Mumbai,953,Public,15,50k-1 Lakh Employees (India),14100,68700,1600,621,India,Asia
Vodafone Idea ,4.2,"Gandhinagar,Gujrat + 561 more",Gandhinagar,562,Public,4,10k-50k Employees (India),13600,58900,372,258,India,Asia
HDB Financial Services ,4,"Ahmedabad,Gujrat + 749 more",Ahmedabad,750,Private,15,1 Lakh+ Employees (India),12700,55200,14,345,India,Asia
Teleperformance ,3.6,Paris + 117 more,Paris,117,Private,44,50k-1 Lakh Employees (India),13700,54400,314,594,France,Europe
Kotak Mahindra Bank ,3.9,"Mumbai,Maharashtra + 467 more",Mumbai,468,Public,19,50k-1 Lakh Employees (India),13100,65800,94,404,India,Asia
Bharti Airtel ,4.1,"Gurgaon/Gurugram,Haryana + 494 more",Gurgaon,495,Public,27,10k-50k Employees (India),12400,41500,174,322,India,Asia
Reliance Industries  ,4.1,"Navi Mumbai,Maharashtra + 461 more",Navi Mumbai,462,Public,49,1 Lakh+ Employees (India),40600,53000,67,554,India,Asia
Deloitte ,4.1,"New York,New York + 132 more",New York,133,Private,177,50k-1 Lakh Employees (India),9700,98300,131,934,United States of America,Americas
Tata Motors ,4,"Pune,Maharashtra + 383 more",Pune,384,Public,77,10k-50k Employees (India),11900,34800,16,429,India,Asia
Reliance Retail ,4.1,"Navi Mumbai,Maharashtra + 593 more",Navi Mumbai,594,Private,16,1 Lakh+ Employees (India),14100,40100,359,568,India,Asia
WNS ,3.7,"Mumbai,Maharashtra + 22 more",Mumbai,23,Private,26,10k-50k Employees (India),6700,37500,140,452,India,Asia
Mahindra & Mahindra ,3.9,"Mumbai,Maharashtra + 401 more",Mumbai,402,Public,77,1 Lakh+ Employees (India),37600,32800,36,267,India,Asia
IndusInd Bank ,3.8,"Gurgaon/Gurugram,Haryana + 549 more",Gurgaon,550,Public,28,10k-50k Employees (India),6600,44900,193,244,India,Asia
Flipkart ,4.2,"Bangalore,Karnataka + 416 more",Bangalore,417,Public,15,50k-1 Lakh Employees (India),10500,35700,470,631,India,Asia
DXC Technology ,3.9,"Minato,Tokyo + 56 more",Minato,57,Public,5,10k-50k Employees (India),6900,62300,1100,308,Japan,Asia
Hinduja Global Solutions ,4,"Bangalore/Bengaluru,Karnataka + 74 more",Bangalore,75,Public,22,10k-50k Employees (India),6000,21400,97,114,India,Asia
Ernst & Young ,3.8,London + 72 more,London,72,Private,20,50k-1 Lakh Employees (India),7100,72400,1400,532,United Kingdom,Europe
Maruti Suzuki ,4.1,"New Delhi,Delhi + 376 more",New Delhi,377,Public,39,10k-50k Employees (India),5700,22200,186,290,India,Asia
BYJU'S ,3.6,"Bangalore,Karnataka + 166 more",Bangalore,167,Private,11,1k-5k Employees (India),10200,33700,903,1100,India,Asia
Infosys BPM  ,4,"Bangalore/Bengaluru,Karnataka + 46 more",Bangalore,47,,20,10k-50k Employees (India),5600,36600,41,428,India,Asia
HSBC ,4.1,"Pune,Maharashtra + 54 more",Pune,55,Private,20,10k-50k Employees (India),5700,42300,7,182,India,Asia
Ericsson ,4.3,"Stockholm,Stockholm County + 131 more",Stockholm,132,Private,146,10k-50k Employees (India),5300,33900,248,154,Sweden,Europe
Bajaj Finserv ,4.1,"Pune,Maharashtra + 644 more",Pune,645,Public,15,10k-50k Employees (India),5000,25300,954,195,India,Asia
Conneqt Business Solutions ,3.7,"Mumbai,Maharashtra + 153 more",Mumbai,154,Private,20,10k-50k Employees (India),4900,18300,37,153,India,Asia
IDFC FIRST Bank ,4,"Mumbai,Maharashtra + 366 more",Mumbai,367,Public,4,10k-50k Employees (India),4900,34200,1200,239,India,Asia
