,Country,no_corps,Year,no_company,continent,latitude,longitude
0,Algeria,Corporations,0,0,Africa,28.033886,1.659626
1,Argentina,Corporations,2021,1,Americas,-38.416097,-63.616672
2,Australia,Corporations,2018,1,Oceania,-25.274398,133.775136
3,Australia,Corporations,2019,1,Oceania,-25.274398,133.775136
4,Australia,Corporations,2021,4,Oceania,-25.274398,133.775136
5,Australia,Corporations,2022,2,Oceania,-25.274398,133.775136
6,Austria,Corporations,2021,2,Europe,47.516231,14.550072
7,Bahrain,Corporations,0,0,Asia,25.930414,50.637772
8,Bangladesh,Corporations,0,0,Asia,23.684994,90.356331
9,Belgium,Corporations,2019,1,Europe,50.503887,4.469936
10,Belgium,Corporations,2021,1,Europe,50.503887,4.469936
11,Belgium,Corporations,2022,1,Europe,50.503887,4.469936
12,Bermuda,Corporations,2017,1,Americas,32.321384,-64.75737
13,Bolivia,Corporations,0,0,0,-16.290154,-63.588653
14,Brazil,Corporations,2018,2,Americas,-14.235004,-51.92528
15,Brazil,Corporations,2019,4,Americas,-14.235004,-51.92528
16,Brazil,Corporations,2020,3,Americas,-14.235004,-51.92528
17,Brazil,Corporations,2021,6,Americas,-14.235004,-51.92528
18,Brazil,Corporations,2022,2,Americas,-14.235004,-51.92528
19,Canada,Corporations,2020,1,Americas,56.130366,-106.346771
20,Canada,Corporations,2021,15,Americas,56.130366,-106.346771
21,Canada,Corporations,2022,3,Americas,56.130366,-106.346771
22,China,Corporations,2014,1,Asia,35.86166,104.195397
23,China,Corporations,2015,19,Asia,35.86166,104.195397
24,China,Corporations,2016,12,Asia,35.86166,104.195397
25,China,Corporations,2017,19,Asia,35.86166,104.195397
26,China,Corporations,2018,37,Asia,35.86166,104.195397
27,China,Corporations,2019,23,Asia,35.86166,104.195397
28,China,Corporations,2020,11,Asia,35.86166,104.195397
29,China,Corporations,2021,44,Asia,35.86166,104.195397
30,China,Corporations,2022,8,Asia,35.86166,104.195397
31,Congo ,Corporations,0,0,0,,
32,Cuba,Corporations,0,0,Americas,21.521757,-77.781167
33,Denmark,Corporations,2021,2,Europe,56.26392,9.501785
34,Egypt,Corporations,0,0,Africa,26.820553,30.802498
35,Finland,Corporations,2018,1,Europe,61.92411,25.748151
36,Finland,Corporations,2021,1,Europe,61.92411,25.748151
37,Finland,Corporations,2022,2,Europe,61.92411,25.748151
38,France,Corporations,2007,1,Europe,46.227638,2.213749
39,France,Corporations,2015,1,Europe,46.227638,2.213749
40,France,Corporations,2016,1,Europe,46.227638,2.213749
41,France,Corporations,2019,3,Europe,46.227638,2.213749
42,France,Corporations,2020,2,Europe,46.227638,2.213749
43,France,Corporations,2021,11,Europe,46.227638,2.213749
44,France,Corporations,2022,5,Europe,46.227638,2.213749
45,Germany,Corporations,2017,1,Europe,51.165691,10.451526
46,Germany,Corporations,2018,3,Europe,51.165691,10.451526
47,Germany,Corporations,2019,4,Europe,51.165691,10.451526
48,Germany,Corporations,2021,16,Europe,51.165691,10.451526
