Continent,Year,startups
0,2014,1
0,2015,1
0,2016,1
0,2018,2
0,2019,3
0,2020,1
0,2021,3
0,2022,5
Africa,2016,1
Africa,2017,1
Africa,2020,1
Africa,2021,17
Africa,2022,4
Americas,2015,1
Americas,2017,1
Americas,2018,3
Americas,2019,4
Americas,2020,4
Americas,2021,14
Americas,2022,7
Asia,2012,1
Asia,2014,4
Asia,2015,19
Asia,2016,14
Asia,2017,29
Asia,2018,47
Asia,2019,37
Asia,2020,28
Asia,2021,133
Asia,2022,46
Europe,2007,1
Europe,2011,2
Europe,2012,3
Europe,2013,3
Europe,2014,7
Europe,2015,13
Europe,2016,5
Europe,2017,13
Europe,2018,45
Europe,2019,57
Europe,2020,74
Europe,2021,358
Europe,2022,164
Oceania,2018,1
Oceania,2019,1
Oceania,2021,4
Oceania,2022,2
