,Continent,Year,Industry,Company
0,0,2014,Mobile & telecommunications,1
1,0,2015,E-commerce & direct-to-consumer,1
2,0,2016,Consumer & retail,1
3,0,2018,Fintech,1
4,0,2018,Other,1
5,0,2019,E-commerce & direct-to-consumer,1
6,0,2019,Health,1
7,0,2019,Travel,1
8,0,2020,Auto & transportation,1
9,0,2021,Fintech,1
10,0,2021,Internet software & services,1
11,0,2021,"Supply chain, logistics, & delivery",1
12,0,2022,E-commerce & direct-to-consumer,2
13,0,2022,Internet,1
14,0,2022,Internet software & services,1
15,0,2022,Mobile & telecommunications,1
16,Africa,2016,Consumer & retail,1
17,Africa,2017,Mobile & telecommunications,1
18,Africa,2020,Edtech,1
19,Africa,2021,Artificial intelligence,2
20,Africa,2021,Cybersecurity,2
21,Africa,2021,E-commerce & direct-to-consumer,1
22,Africa,2021,Fintech,5
23,Africa,2021,Internet software & services,5
24,Africa,2021,Other,1
25,Africa,2021,Travel,1
26,Africa,2022,Cybersecurity,1
27,Africa,2022,Fintech,1
28,Africa,2022,Internet software & services,1
29,Africa,2022,"Supply chain, logistics, & delivery",1
30,Americas,2015,Other,1
31,Americas,2017,Artificial intelligence,1
32,Americas,2018,Mobile & telecommunications,1
33,Americas,2018,"Supply chain, logistics, & delivery",2
34,Americas,2019,E-commerce & direct-to-consumer,1
35,Americas,2019,Fintech,1
36,Americas,2019,Other,1
37,Americas,2019,"Supply chain, logistics, & delivery",1
38,Americas,2020,E-commerce & direct-to-consumer,2
39,Americas,2020,Fintech,2
40,Americas,2021,Artificial intelligence,1
41,Americas,2021,Consumer & retail,1
42,Americas,2021,E-commerce & direct-to-consumer,4
43,Americas,2021,Fintech,6
44,Americas,2021,"Sequoia Capital, Thoma Bravo, Softbank",1
45,Americas,2021,"Supply chain, logistics, & delivery",1
46,Americas,2022,Artificial intelligence,1
47,Americas,2022,Fintech,5
48,Americas,2022,"Supply chain, logistics, & delivery",1
49,Asia,2012,Consumer & retail,1
50,Asia,2014,Auto & transportation,1
51,Asia,2014,E-commerce & direct-to-consumer,2
52,Asia,2014,Mobile & telecommunications,1
53,Asia,2015,E-commerce & direct-to-consumer,6
54,Asia,2015,Edtech,2
55,Asia,2015,Fintech,1
56,Asia,2015,Hardware,2
57,Asia,2015,Health,1
58,Asia,2015,Internet software & services,2
59,Asia,2015,Mobile & telecommunications,4
60,Asia,2015,Travel,1
61,Asia,2016,Artificial intelligence,1
62,Asia,2016,Auto & transportation,1
63,Asia,2016,E-commerce & direct-to-consumer,6
64,Asia,2016,Edtech,1
65,Asia,2016,Hardware,2
66,Asia,2016,Mobile & telecommunications,1
67,Asia,2016,Other,1
68,Asia,2016,"Supply chain, logistics, & delivery",1
69,Asia,2017,Artificial intelligence,2
70,Asia,2017,Consumer & retail,2
71,Asia,2017,Data management & analytics,1
72,Asia,2017,E-commerce & direct-to-consumer,4
73,Asia,2017,Edtech,4
74,Asia,2017,Fintech,4
75,Asia,2017,Health,1
76,Asia,2017,Internet software & services,1
77,Asia,2017,Mobile & telecommunications,3
78,Asia,2017,Other,3
79,Asia,2017,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",1
80,Asia,2017,"Supply chain, logistics, & delivery",1
81,Asia,2017,Travel,2
82,Asia,2018,Artificial intelligence,8
83,Asia,2018,Auto & transportation,8
84,Asia,2018,Consumer & retail,2
85,Asia,2018,Data management & analytics,1
86,Asia,2018,E-commerce & direct-to-consumer,4
87,Asia,2018,Edtech,2
88,Asia,2018,Fintech,3
89,Asia,2018,Hardware,5
90,Asia,2018,Health,3
91,Asia,2018,Internet software & services,3
92,Asia,2018,Mobile & telecommunications,1
93,Asia,2018,"Supply chain, logistics, & delivery",5
94,Asia,2018,Travel,2
95,Asia,2019,Artificial intelligence,4
96,Asia,2019,Auto & transportation,4
97,Asia,2019,Cybersecurity,1
98,Asia,2019,E-commerce & direct-to-consumer,6
99,Asia,2019,Edtech,1
100,Asia,2019,Fintech,6
101,Asia,2019,Health,1
102,Asia,2019,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",1
103,Asia,2019,Internet software & services,3
104,Asia,2019,Mobile & telecommunications,3
105,Asia,2019,Other,3
106,Asia,2019,"Supply chain, logistics, & delivery",3
107,Asia,2019,Travel,1
108,Asia,2020,Artificial intelligence,1
109,Asia,2020,Auto & transportation,3
110,Asia,2020,Consumer & retail,1
111,Asia,2020,Cybersecurity,1
112,Asia,2020,E-commerce & direct-to-consumer,5
113,Asia,2020,Edtech,1
114,Asia,2020,Fintech,3
115,Asia,2020,Hardware,1
116,Asia,2020,Health,1
117,Asia,2020,Internet software & services,3
118,Asia,2020,Kuang-Chi,1
119,Asia,2020,Mobile & telecommunications,2
120,Asia,2020,Other,4
121,Asia,2020,"Supply chain, logistics, & delivery",1
122,Asia,2021,"500 Global, Rakuten Ventures, Golden Gate Ventures",1
123,Asia,2021,"Andreessen Horowitz, DST Global, IDG Capital",1
124,Asia,2021,Artificial Intelligence,4
125,Asia,2021,Artificial intelligence,5
126,Asia,2021,Auto & transportation,2
127,Asia,2021,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",1
128,Asia,2021,Consumer & retail,5
129,Asia,2021,Cybersecurity,4
130,Asia,2021,Data management & analytics,1
131,Asia,2021,"Dragonfly Captial, Qiming Venture Partners, DST Global",1
132,Asia,2021,E-commerce & direct-to-consumer,12
133,Asia,2021,Edtech,7
134,Asia,2021,Fintech,35
135,Asia,2021,Hardware,7
136,Asia,2021,Health,8
137,Asia,2021,Internet software & services,15
138,Asia,2021,"Jungle Ventures, Accel, Venture Highway",1
139,Asia,2021,Mobile & telecommunications,2
140,Asia,2021,"Mundi Ventures, Doqling Capital Partners, Activant Capital",1
141,Asia,2021,Other,4
142,Asia,2021,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",1
143,Asia,2021,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",1
144,Asia,2021,"Supply chain, logistics, & delivery",10
145,Asia,2021,"Temasek, Guggenheim Investments, Qatar Investment Authority",1
146,Asia,2021,"Tiger Global Management, Tiger Brokers, DCM Ventures",1
147,Asia,2021,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures",1
148,Asia,2021,"Vision Plus Capital, GSR Ventures, ZhenFund",1
149,Asia,2022,Auto & transportation,3
150,Asia,2022,Cybersecurity,2
151,Asia,2022,Data management & analytics,2
152,Asia,2022,E-commerce & direct-to-consumer,4
153,Asia,2022,Edtech,3
154,Asia,2022,Fintech,10
155,Asia,2022,"GIC. Apis Partners, Insight Partners",1
156,Asia,2022,Hardware,4
157,Asia,2022,Health,1
158,Asia,2022,Internet,1
159,Asia,2022,Internet software & services,7
160,Asia,2022,Mobile & telecommunications,1
161,Asia,2022,Other,3
162,Asia,2022,"Supply chain, logistics, & delivery",4
163,Europe,2007,E-commerce & direct-to-consumer,1
164,Europe,2011,Fintech,1
165,Europe,2011,Internet software & services,1
166,Europe,2012,Artificial intelligence,1
167,Europe,2012,E-commerce & direct-to-consumer,1
168,Europe,2012,Other,1
169,Europe,2013,Cybersecurity,1
170,Europe,2013,Data management & analytics,1
171,Europe,2013,Internet software & services,1
172,Europe,2014,E-commerce & direct-to-consumer,2
173,Europe,2014,Fintech,1
174,Europe,2014,Hardware,1
175,Europe,2014,Health,1
176,Europe,2014,Mobile & telecommunications,1
177,Europe,2014,"Supply chain, logistics, & delivery",1
178,Europe,2015,Artificial intelligence,1
179,Europe,2015,Auto & transportation,1
180,Europe,2015,Cybersecurity,2
181,Europe,2015,E-commerce & direct-to-consumer,2
182,Europe,2015,Fintech,1
183,Europe,2015,Hardware,2
184,Europe,2015,Health,1
185,Europe,2015,Internet software & services,2
186,Europe,2015,Other,1
187,Europe,2016,Consumer & retail,1
188,Europe,2016,Edtech,1
189,Europe,2016,Health,1
190,Europe,2016,Internet software & services,1
191,Europe,2016,Other,1
192,Europe,2017,Artificial intelligence,1
193,Europe,2017,Consumer & retail,2
194,Europe,2017,Data management & analytics,1
195,Europe,2017,Fintech,1
196,Europe,2017,Health,3
197,Europe,2017,Internet software & services,3
198,Europe,2017,Mobile & telecommunications,1
199,Europe,2017,Other,1
200,Europe,2018,Artificial intelligence,3
201,Europe,2018,Auto & transportation,4
202,Europe,2018,Consumer & retail,4
203,Europe,2018,Cybersecurity,1
204,Europe,2018,Data management & analytics,2
205,Europe,2018,Fintech,6
206,Europe,2018,Hardware,3
207,Europe,2018,Health,4
208,Europe,2018,Internet software & services,9
209,Europe,2018,Mobile & telecommunications,2
210,Europe,2018,Other,2
211,Europe,2018,"Supply chain, logistics, & delivery",3
212,Europe,2018,Travel,2
213,Europe,2019,Artificial intelligence,9
214,Europe,2019,Auto & transportation,3
215,Europe,2019,Consumer & retail,2
216,Europe,2019,Cybersecurity,3
217,Europe,2019,Data management & analytics,4
218,Europe,2019,E-commerce & direct-to-consumer,3
219,Europe,2019,Fintech,12
220,Europe,2019,Health,1
221,Europe,2019,Internet software & services,10
222,Europe,2019,Mobile & telecommunications,1
223,Europe,2019,Other,5
224,Europe,2019,"Supply chain, logistics, & delivery",3
225,Europe,2019,Travel,1
226,Europe,2020,Artificial intelligence,2
227,Europe,2020,Auto & transportation,2
228,Europe,2020,Cybersecurity,6
229,Europe,2020,Data management & analytics,5
230,Europe,2020,E-commerce & direct-to-consumer,7
231,Europe,2020,Edtech,2
232,Europe,2020,Fintech,10
233,Europe,2020,Health,11
234,Europe,2020,Internet software & services,17
235,Europe,2020,Mobile & telecommunications,4
236,Europe,2020,Other,6
237,Europe,2020,"Supply chain, logistics, & delivery",2
238,Europe,2021,Artificial Intelligence,2
239,Europe,2021,Artificial intelligence,21
240,Europe,2021,Auto & transportation,3
241,Europe,2021,Consumer & retail,4
242,Europe,2021,Cybersecurity,21
243,Europe,2021,Data management & analytics,22
244,Europe,2021,E-commerce & direct-to-consumer,19
245,Europe,2021,Edtech,6
246,Europe,2021,Fintech,83
247,Europe,2021,Hardware,8
248,Europe,2021,Health,36
249,Europe,2021,Internet software & services,95
250,Europe,2021,Mobile & telecommunications,4
251,Europe,2021,Other,16
252,Europe,2021,"Supply chain, logistics, & delivery",16
253,Europe,2021,Travel,2
254,Europe,2022,Artificial Intelligence,5
255,Europe,2022,Artificial intelligence,10
256,Europe,2022,Auto & transportation,4
257,Europe,2022,Consumer & retail,1
258,Europe,2022,Cybersecurity,13
259,Europe,2022,Data management & analytics,5
260,Europe,2022,E-commerce & direct-to-consumer,6
261,Europe,2022,Edtech,1
262,Europe,2022,Fintech,38
263,Europe,2022,Hardware,3
264,Europe,2022,Health,19
265,Europe,2022,Internet software & services,38
266,Europe,2022,Mobile & telecommunications,2
267,Europe,2022,Other,10
268,Europe,2022,"Supply chain, logistics, & delivery",8
269,Europe,2022,Travel,1
270,Oceania,2018,Internet software & services,1
271,Oceania,2019,Fintech,1
272,Oceania,2021,E-commerce & direct-to-consumer,1
273,Oceania,2021,Internet software & services,3
274,Oceania,2022,Fintech,1
275,Oceania,2022,Internet software & services,1
